,Week No.,Lecture Name,Lecture Video Links
0,Week 0,Overview of linear algebra,https://hello.iitk.ac.in/mth102aa2021/#/lecture/19
1,Week 0,First Course Handout,https://hello.iitk.ac.in/mth102aa2021/#/lecture/65
2,Week 1,Lecture 1 part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/5
3,Week 1,Lecture 1 part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/6
4,Week 1,Lecture 2 part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/7
5,Week 1,Lecture 2 part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/8
6,Week 1,Assignment-1,https://hello.iitk.ac.in/mth102aa2021/#/lecture/17
7,Week 1,Assignment1 discussion-part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/13
8,Week 1,Assignment1 discussion -part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/14
9,Week 2,Lecture 3 part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/9
10,Week 2,Lecture 3 part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/10
11,Week 2,Lecture 4 part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/11
12,Week 2,Lecture 4 part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/12
13,Week 2,Assignment-2,https://hello.iitk.ac.in/mth102aa2021/#/lecture/18
14,Week 2,Assignment2 discussion-part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/15
15,Week 2,Assignment2 discussion -part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/16
16,Week 3,Lecture 5 part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/20
17,Week 3,Lecture 5 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/21
18,Week 3,Lecture 6 Part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/22
19,Week 3,Lecture 6 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/23
20,Week 3,Lecture 7 Part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/24
21,Week 3,Lecture 7 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/25
22,Week 3,Assignment 3,https://hello.iitk.ac.in/mth102aa2021/#/lecture/60
23,Week 3,Assignment 3 discussion-part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/62
24,Week 3,Assignment-3 discussion Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/63
25,Week 4,Lecture 8 Part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/26
26,Week 4,Lecture 8 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/27
27,Week 4,Lecture 9 Part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/28
28,Week 4,Lecture 9 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/29
29,Week 4,Lecture 10 Part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/30
30,Week 4,Lecture 10 Part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/107
31,Week 4,Assignment 4,https://hello.iitk.ac.in/mth102aa2021/#/lecture/100
32,Week 4,Assignment4 discussion-part A,https://hello.iitk.ac.in/mth102aa2021/#/lecture/103
33,Week 4,Assignment4 discussion -part B,https://hello.iitk.ac.in/mth102aa2021/#/lecture/104
34,Week 4,First Quiz Solutions,https://hello.iitk.ac.in/mth102aa2021/#/lecture/131
